file_name,left,right,top,bottom,min_value,max_value,pixel_horiz,pixel_vert,number_of_nan
4313-141_reproject,-5176364.833110065,-5175767.600860305,-2698913.459098865,-2699562.10145071,-1.0669047,16.7734,1093,1187,0
4313-463_reproject,-5170566.453493924,-5169970.25500336,-2702076.165895092,-2702699.165969176,-0.398562,11.631299,1091,1140,0
4313-143_reproject,-5176364.82973203,-5175767.57407068,-2699545.9504815596,-2700194.618260278,-1.7197766,19.514221,1093,1187,0
4313-144_reproject,-5175785.013376129,-5175187.756640258,-2699545.9446297456,-2700194.61357548,-1.8646542,24.883097,1093,1187,0
4313-242_reproject,-5172306.139566667,-5171709.446803677,-2698913.4589354107,-2699562.109363373,-1.2241801,55.041656,1092,1187,0
4313-324_reproject,-5174625.401544339,-5174028.095828735,-2700810.997763404,-2701459.719905076,-2.4209027,26.733713,1093,1187,0
4313-312_reproject,-5175785.021211275,-5175187.741057142,-2700178.461598073,-2700827.155977928,-1.8404071,18.14831,1093,1187,0
4313-253_reproject,-5171726.338552095,-5171129.621355061,-2699545.945524063,-2700194.6225136886,-3.8346503,21.641094,1092,1187,0
4313-453_reproject,-5171726.081861163,-5171129.883942841,-2702076.2012128807,-2702699.7476595654,-0.69580567,15.223766,1091,1141,0
4313-464_reproject,-5169984.570357901,-5169390.516630752,-2702088.7747859834,-2702724.9483446158,-2.108076,29.495518,1087,1164,0
4313-234_reproject,-5169986.896179741,-5169390.768011468,-2698280.989165467,-2698929.6203650734,-2.4918377,35.304688,1091,1187,0
4313-153_reproject,-5175205.207103666,-5174607.949297035,-2699545.950365073,-2700194.62047374,-3.3575969,18.260862,1093,1187,0
4313-232_reproject,-5169986.892138874,-5169390.787325055,-2697648.547019089,-2698297.1528073363,-1.4607214,35.515022,1091,1187,0
4313-434_reproject,-5169986.903625588,-5169390.68197272,-2700810.9935190817,-2701459.72643679,-0.6661157,24.152864,1091,1187,0
4313-231_reproject,-5170566.7036333615,-5169970.054507738,-2697648.548634598,-2698297.1516254223,-1.0311365,22.177212,1092,1187,0
4313-313_reproject,-5176364.837997468,-5175767.5354927825,-2700811.0071181,-2701459.7257724563,-1.7301352,21.161102,1093,1187,0
4313-351_reproject,-5175205.209584934,-5174607.88150377,-2701443.5676508406,-2702092.314083313,-3.0889642,33.94056,1093,1187,0
4313-162_reproject,-5173465.769345198,-5172868.531763341,-2698913.453733794,-2699562.1018767264,-1.1539155,17.560276,1093,1187,0
4313-412_reproject,-5172306.151822585,-5171709.412273859,-2700178.458507602,-2700827.1597952177,-1.5707065,15.730458,1092,1187,0
4313-452_reproject,-5171146.527364739,-5170550.284389761,-2701443.562048745,-2702092.318166473,-0.4325922,17.974113,1091,1187,0
4313-354_reproject,-5174625.397818767,-5174035.682184803,-2702076.1484727073,-2702724.9450792763,-1.1359642,16.109749,1079,1187,0
4313-433_reproject,-5170566.709499989,-5169970.4888782445,-2700810.9902225235,-2701459.722018292,-0.48666725,26.658066,1091,1187,0
4313-444_reproject,-5172305.793677259,-5171709.694248225,-2702116.132449928,-2702704.5755560207,-0.19668213,11.943738,1091,1077,0
4313-442_reproject,-5172299.511031116,-5171709.398330867,-2701462.8475400414,-2702063.898381166,0.0,14.512531,1080,1100,0
4313-363_reproject,-5173940.930096576,-5173456.230107581,-2702513.7471277504,-2702724.9846229544,0.0,5.0901875,889,388,0
4313-334_reproject,-5173465.130476317,-5172877.812385791,-2700811.104808004,-2701397.3291963134,-2.8671346,19.36798,1075,1073,0
4313-422_reproject,-5171146.45359898,-5170550.276135718,-2700178.514470818,-2700820.0889335754,-0.08309082,24.44149,1091,1174,0
4313-111_reproject,-5176364.822289801,-5175767.636842587,-2697648.5614777487,-2698297.1529982574,-0.12661397,17.936178,1093,1187,0
4313-343_reproject,-5176364.840733372,-5175767.491358812,-2702076.15159726,-2702724.9211560767,-0.25286824,22.13612,1093,1187,0
4313-432_reproject,-5169986.905209183,-5169390.706937649,-2700178.452642871,-2700827.160119971,-0.18922852,20.317669,1091,1187,0
4313-454_reproject,-5171146.530573851,-5170550.264204045,-2702076.1502654846,-2702724.9318385036,-0.34406984,16.9784,1091,1187,0
4313-331_reproject,-5174045.585282159,-5173448.301929042,-2700178.4622956454,-2700827.1601498555,-0.6906262,44.572636,1093,1187,0
4313-113_reproject,-5176364.826956548,-5175767.618111626,-2698280.992483414,-2698929.609415719,-0.21848145,16.612284,1093,1187,0
4313-353_reproject,-5175201.594448639,-5174608.211039776,-2702076.2136046034,-2702670.690807769,-1.6892953,17.161243,1086,1088,0
4313-361_reproject,-5174042.525210239,-5173448.358917484,-2701443.6638424676,-2701794.265643891,-1.3985864,25.744135,1089,643,0
4313-441_reproject,-5172883.381540801,-5172288.958708338,-2701443.8098449954,-2701862.8560881014,-0.14498048,27.538712,1089,768,0
4313-112_reproject,-5175785.009209145,-5175187.822686918,-2697648.5634682947,-2698297.156156354,-0.43854493,38.17798,1093,1187,0
4313-264_reproject,-5169986.897207802,-5169390.722310864,-2699545.93654268,-2700194.618586504,-2.5220978,55.41404,1091,1187,0
4313-134_reproject,-5173464.089410402,-5172868.511309534,-2698281.010274969,-2698929.638032204,0.0,34.335453,1090,1187,0
4313-431_reproject,-5170566.71001701,-5169970.51277663,-2700178.4503507437,-2700827.1567058726,-0.24023193,16.67784,1091,1187,0
4313-341_reproject,-5176364.83850789,-5175767.512572241,-2701443.5505670044,-2702092.294669275,-2.4178545,19.335882,1093,1187,0
4313-221_reproject,-5171726.323900694,-5171129.676851924,-2697648.5541100698,-2698297.1548431967,-5.4339542,36.579575,1092,1187,0
4313-251_reproject,-5171726.328699045,-5171129.634891477,-2698913.4571074774,-2699562.108670974,-1.6803467,51.69923,1092,1187,0
4313-244_reproject,-5172306.150477209,-5171709.434324724,-2699545.9463362284,-2700194.6221903507,-1.2827929,50.70475,1092,1187,0
4313-133_reproject,-5174045.5756313745,-5173448.362511794,-2698280.9979889477,-2698929.6195638767,-1.9053857,19.978273,1093,1187,0
4313-122_reproject,-5174625.391035299,-5174028.202375899,-2697648.5586104435,-2698297.1536196447,-1.9527342,21.243895,1093,1187,0
4313-124_reproject,-5174625.392556517,-5174028.180499497,-2698280.9927285067,-2698929.61314941,0.0,31.357227,1093,1187,0
4313-241_reproject,-5172885.960311488,-5172288.721675814,-2698913.450425831,-2699562.099713294,-1.1104519,54.115223,1093,1187,0
4313-364_reproject,-5173461.73408229,-5172869.82270461,-2702175.79059031,-2702648.007977489,-0.83295625,15.987728,1084,865,0
4313-164_reproject,-5173465.771579007,-5172868.510585729,-2699545.9501703177,-2700194.6237399396,-3.6563118,32.642723,1093,1187,0
4313-161_reproject,-5174045.57745736,-5173448.340933462,-2698913.457781851,-2699562.1047757547,-1.4934194,19.327583,1093,1187,0
4313-214_reproject,-5172306.140899513,-5171709.471519321,-2698280.9960741373,-2698929.621083218,-2.3250253,37.063557,1092,1187,0
4313-333_reproject,-5174045.5802632915,-5173448.273485649,-2700810.9961781655,-2701459.719473297,-1.8091106,23.614374,1093,1187,0
4313-344_reproject,-5175785.020089075,-5175191.488061037,-2702076.149912277,-2702724.932387165,-0.22345215,32.77289,1086,1187,0
4313-151_reproject,-5175205.201694892,-5174607.967299767,-2698913.4570187153,-2699562.1017006,-1.1133544,32.188423,1093,1187,0
4313-224_reproject,-5171146.5203576,-5170549.848892337,-2698280.9911314375,-2698929.6184071507,-3.7051017,54.66031,1092,1187,0
4313-414_reproject,-5172305.077294491,-5171709.5058857985,-2700810.95860298,-2701422.390040003,-0.4891089,15.896404,1090,1119,0
4313-424_reproject,-5171146.525485195,-5170550.305898327,-2700810.99851186,-2701459.7291816077,-0.58950925,21.121286,1091,1187,0
4313-461_reproject,-5170566.710307587,-5169970.466297761,-2701443.5547670503,-2702092.3120107693,-0.4546411,11.669236,1091,1187,0
4313-252_reproject,-5171146.516918772,-5170550.367455911,-2698913.456020558,-2699562.11039024,-4.351875,54.77656,1091,1187,0
4313-114_reproject,-5175785.0128271775,-5175187.802907271,-2698280.9955152045,-2698929.6136150295,-0.89041257,22.164135,1093,1187,0
4313-211_reproject,-5172885.95131776,-5172289.320574669,-2697654.0337684597,-2698297.1481166496,-0.72568357,20.967043,1092,1177,0
4313-332_reproject,-5173465.775049311,-5172868.490638291,-2700178.4603001014,-2700827.159303279,-3.7208626,27.914438,1093,1187,0
4313-154_reproject,-5174625.3888819255,-5174028.130009057,-2699545.9459845186,-2700194.6172512053,-0.9263345,43.987705,1093,1187,0
4313-243_reproject,-5172885.961487247,-5172288.699440181,-2699545.947885004,-2700194.622599125,-3.3651767,29.785694,1093,1187,0
4313-321_reproject,-5175205.202857438,-5174607.921632954,-2700178.4575188095,-2700827.153061152,-2.3914843,18.29914,1093,1187,0
4313-323_reproject,-5175205.210992318,-5174607.906342871,-2700811.0001909393,-2701459.721174679,-2.1208375,18.39157,1093,1187,0
4313-261_reproject,-5170566.704230463,-5169970.553732235,-2698913.455673312,-2699562.111169549,-1.185813,54.928974,1091,1187,0
4313-254_reproject,-5171146.525714397,-5170550.352883599,-2699545.945449283,-2700194.625244996,-4.495273,57.60737,1091,1187,0
4313-352_reproject,-5174625.399064137,-5174028.069916845,-2701443.5662563937,-2702092.3138467665,-1.8535264,25.786919,1093,1187,0
4313-223_reproject,-5171726.331084562,-5171129.660659766,-2698280.9932308183,-2698929.6193754645,-1.7076205,50.61013,1092,1187,0
4313-423_reproject,-5171726.340340584,-5171130.121793538,-2700810.9855971686,-2701459.715135514,-0.77542967,18.588177,1091,1187,0
4313-263_reproject,-5170566.711858545,-5169970.537992814,-2699545.935144617,-2700194.616066414,-0.1859607,20.10745,1091,1187,0
4313-362_reproject,-5173461.675800411,-5172877.8424950475,-2701488.212037013,-2701691.7352359854,0.0,10.655895,1071,374,0
4313-233_reproject,-5170566.708721829,-5169970.036220235,-2698280.9897760614,-2698929.618178344,-2.2285976,19.959332,1092,1187,0
4313-123_reproject,-5175205.1977625415,-5174607.986771792,-2698280.999289681,-2698929.6185525283,-0.028725097,24.155842,1093,1187,0
4313-451_reproject,-5171726.332497289,-5171130.090561676,-2701443.559200755,-2702092.3141875784,-1.3920532,16.822447,1091,1187,0
4313-342_reproject,-5175785.019174857,-5175187.692163961,-2701443.5697706565,-2702092.315040732,-1.6626351,55.930344,1093,1187,0
4313-322_reproject,-5174625.394590397,-5174028.112299323,-2700178.465023959,-2700827.1617247043,-1.192056,46.2392,1093,1187,0
4313-152_reproject,-5174625.395548785,-5174028.160087013,-2698913.462456387,-2699562.108296737,-1.274033,37.224724,1093,1187,0
4313-121_reproject,-5175205.205983004,-5174608.018390334,-2697648.555126824,-2698297.1489774706,-0.9575743,32.43627,1093,1187,0
4313-262_reproject,-5169986.901540828,-5169390.750011389,-2698913.455956162,-2699562.112574432,-0.95333743,55.41404,1091,1187,0
4313-222_reproject,-5171146.514221467,-5170549.866132202,-2697648.550998518,-2698297.152862742,-4.21689,60.20001,1092,1187,0
4313-411_reproject,-5172885.824384129,-5172289.12218371,-2700178.480953278,-2700813.468354456,-1.1756921,31.40761,1092,1162,0
4313-213_reproject,-5172885.949687532,-5172288.734456094,-2698280.9886963414,-2698929.6125649177,-0.124663085,32.407257,1093,1187,0
4313-443_reproject,-5172885.705868673,-5172300.231443295,-2702196.816754217,-2702699.19863743,-0.38516602,16.834139,1072,920,0
4313-462_reproject,-5169986.724400011,-5169390.5274053365,-2701443.7893580482,-2702074.445445075,-1.399875,17.741098,1091,1154,0
4313-421_reproject,-5171726.338834401,-5171130.14366837,-2700178.4587114956,-2700827.16280958,-1.5350854,26.143415,1091,1187,0
